machine_id,timestamp,units_produced,cycle_time_min,utilization_pct,order_backlog_hours
Robotic_Welder_1,2026-06-01 00:00:00,0,0.0,0.0,164
Injection_Molder_2,2026-06-01 00:00:00,0,0.0,0.0,164
Robotic_Welder_1,2026-06-01 01:00:00,0,0.0,0.0,164
Injection_Molder_2,2026-06-01 01:00:00,0,0.0,0.0,164
Robotic_Welder_1,2026-06-01 02:00:00,0,0.0,0.0,164
Injection_Molder_2,2026-06-01 02:00:00,32,1.88,89.36,164
Robotic_Welder_1,2026-06-01 03:00:00,0,0.0,0.0,164
Injection_Molder_2,2026-06-01 03:00:00,23,2.61,87.81,164
Robotic_Welder_1,2026-06-01 04:00:00,0,0.0,0.0,164
Injection_Molder_2,2026-06-01 04:00:00,20,3.0,78.8,164
Robotic_Welder_1,2026-06-01 05:00:00,0,0.0,0.0,164
Injection_Molder_2,2026-06-01 05:00:00,0,0.0,0.0,164
CNC_Mill_1,2026-06-01 06:00:00,0,0.0,0.0,164
CNC_Lathe_1,2026-06-01 06:00:00,0,0.0,0.0,164
Robotic_Welder_1,2026-06-01 06:00:00,0,0.0,0.0,164
Pick_Place_1,2026-06-01 06:00:00,8,7.5,82.14,164
Assembly_Conveyor_1,2026-06-01 06:00:00,8,7.5,86.97,164
Injection_Molder_2,2026-06-01 06:00:00,0,0.0,0.0,164
Thermoformer_2,2026-06-01 06:00:00,0,0.0,0.0,164
Packaging_Robot_2,2026-06-01 06:00:00,8,7.5,87.61,164
Labeling_Machine_2,2026-06-01 06:00:00,0,0.0,0.0,164
Palletizer_2,2026-06-01 06:00:00,0,0.0,0.0,164
CNC_Mill_1,2026-06-01 07:00:00,18,3.33,73.75,164
CNC_Lathe_1,2026-06-01 07:00:00,0,0.0,0.0,164
Robotic_Welder_1,2026-06-01 07:00:00,0,0.0,0.0,164
Pick_Place_1,2026-06-01 07:00:00,0,0.0,0.0,164
Assembly_Conveyor_1,2026-06-01 07:00:00,6,10.0,80.65,164
Injection_Molder_2,2026-06-01 07:00:00,0,0.0,0.0,164
Thermoformer_2,2026-06-01 07:00:00,0,0.0,0.0,164
Packaging_Robot_2,2026-06-01 07:00:00,0,0.0,0.0,164
Labeling_Machine_2,2026-06-01 07:00:00,0,0.0,0.0,164
Palletizer_2,2026-06-01 07:00:00,0,0.0,0.0,164
CNC_Mill_1,2026-06-01 08:00:00,0,0.0,0.0,164
CNC_Lathe_1,2026-06-01 08:00:00,0,0.0,0.0,164
Robotic_Welder_1,2026-06-01 08:00:00,0,0.0,0.0,164
Pick_Place_1,2026-06-01 08:00:00,0,0.0,0.0,164
Assembly_Conveyor_1,2026-06-01 08:00:00,0,0.0,0.0,164
Injection_Molder_2,2026-06-01 08:00:00,31,1.94,77.61,164
Thermoformer_2,2026-06-01 08:00:00,10,6.0,79.03,164
